"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P784S1A3","LLAVEHOG","FEX_C"
6000902,2,1,2,3,"60009021",1410.14307001619
6000902,3,1,3,4,"60009021",1410.14307001619
6000906,1,1,1,3,"60009061",2069.39245337279
6000911,1,1,1,2,"60009111",2513.22715052054
6000911,2,1,2,3,"60009111",2513.22715052054
6000911,3,1,3,5,"60009111",2513.22715052054
6000913,1,2,1,2,"60009132",1547.24510721591
6000913,1,3,1,3,"60009133",1547.24510721591
6000913,2,3,2,4,"60009133",1547.24510721591
6000915,1,1,1,2,"60009151",2701.54994033364
6000917,1,1,1,6,"60009171",1522.38303154083
6000919,1,1,1,1,"60009191",2922.9863862877
6000923,1,2,1,2,"60009232",2776.55852838095
6000923,2,2,2,3,"60009232",2776.55852838095
6000923,3,2,3,4,"60009232",2776.55852838095
6000924,1,1,1,2,"60009241",2535.79018520095
6000933,1,1,1,2,"60009331",427.796893692127
6000933,2,1,2,3,"60009331",427.796893692127
6000938,1,1,1,3,"60009381",624.701978452194
6000938,2,1,2,4,"60009381",624.701978452194
6000939,1,1,1,3,"60009391",570.936953945251
6000939,2,1,2,4,"60009391",570.936953945251
6000943,1,1,1,3,"60009431",668.901465880491
6000945,1,1,1,3,"60009451",738.036317554995
6000950,1,1,1,3,"60009501",790.742225160708
6000950,2,1,2,4,"60009501",790.742225160708
6000951,1,1,1,3,"60009511",2558.1169175412
6000954,1,1,1,3,"60009541",2839.05069971713
6000960,1,1,1,3,"60009601",1839.58172462
6000976,1,1,1,4,"60009761",1829.16552612849
6000976,2,1,2,5,"60009761",1829.16552612849
6000977,1,1,1,4,"60009771",1966.94928697718
6000977,2,1,2,5,"60009771",1966.94928697718
6000979,1,1,1,2,"60009791",1763.5224001455
6000979,2,1,2,5,"60009791",1763.5224001455
6000979,3,1,3,6,"60009791",1763.5224001455
6000980,1,1,1,3,"60009801",1678.72803399224
6000980,3,1,3,5,"60009801",1678.72803399224
6000980,2,1,2,4,"60009801",1678.72803399224
6000981,2,1,2,3,"60009811",1588.58277622319
6000981,1,1,1,2,"60009811",1588.58277622319
6000981,3,1,3,4,"60009811",1588.58277622319
6001003,1,1,1,4,"60010031",2514.07086180209
6001003,2,1,2,5,"60010031",2514.07086180209
6001013,1,1,1,1,"60010131",2532.99296889536
6001037,1,1,1,3,"60010371",5114.4480581648
6001037,2,1,2,5,"60010371",5114.4480581648
6001042,1,1,1,3,"60010421",5019.58970193272
6001076,1,1,1,4,"60010761",1426.74854050741
6001086,1,1,1,1,"60010861",1960.37087070694
6001088,1,1,1,2,"60010881",1960.37087070694
6001088,2,1,2,3,"60010881",1960.37087070694
6001101,1,1,1,3,"60011011",1232.92463633295
6001101,2,1,2,4,"60011011",1232.92463633295
6001102,1,1,1,2,"60011021",71.6256978979015
6001105,1,1,1,2,"60011051",71.6256978979015
6001109,1,1,1,2,"60011091",2213.77489969817
6001122,1,1,1,2,"60011221",2324.79869952289
6001124,1,1,1,3,"60011241",1940.91399921499
6001124,2,1,2,4,"60011241",1940.91399921499
6001128,1,1,1,5,"60011281",3364.83587322798
6001128,2,1,2,6,"60011281",3364.83587322798
6001137,1,1,1,4,"60011371",1796.23561867386
6001154,1,1,1,2,"60011541",2251.29325067494
6001154,2,1,2,4,"60011541",2251.29325067494
6001154,3,1,3,5,"60011541",2251.29325067494
6001155,1,1,1,5,"60011551",2168.60144326597
6001160,1,1,1,2,"60011601",1545.71635496879
6001160,2,1,2,3,"60011601",1545.71635496879
6001160,3,1,3,4,"60011601",1545.71635496879
6001160,4,1,4,5,"60011601",1545.71635496879
6001161,1,1,1,3,"60011611",1805.63725386788
6001161,2,1,2,4,"60011611",1805.63725386788
6001162,1,1,1,4,"60011621",660.586474638317
6001162,2,1,2,6,"60011621",660.586474638317
6001169,1,1,1,3,"60011691",495.854789279927
6001169,2,1,2,4,"60011691",495.854789279927
6001172,1,1,1,3,"60011721",287.477377997109
6001220,1,1,1,3,"60012201",1105.3439812506
6001223,1,1,1,3,"60012231",2106.3702665117
6001223,2,1,2,4,"60012231",2106.3702665117
6001223,3,1,3,5,"60012231",2106.3702665117
6001223,4,1,4,6,"60012231",2106.3702665117
6001227,1,1,1,3,"60012271",1238.38573514113
6001227,2,1,2,4,"60012271",1238.38573514113
6001246,1,1,1,3,"60012461",466.539471568211
6001248,1,1,1,3,"60012481",811.724923892766
6001249,1,1,1,3,"60012491",566.986030852752
6001249,2,1,2,4,"60012491",566.986030852752
6001249,3,1,3,5,"60012491",566.986030852752
6001252,1,1,1,2,"60012521",541.635014994931
6001252,2,1,2,3,"60012521",541.635014994931
6001252,3,1,3,4,"60012521",541.635014994931
6001252,4,1,4,5,"60012521",541.635014994931
6001254,1,1,1,4,"60012541",809.338622549292
6001254,2,1,2,5,"60012541",809.338622549292
6001255,1,1,1,2,"60012551",616.211901967038
6001255,2,1,2,3,"60012551",616.211901967038
6001256,1,1,1,4,"60012561",603.309231975764
6001259,1,1,1,2,"60012591",438.369947799006
6001259,2,1,2,3,"60012591",438.369947799006
6001270,1,1,1,3,"60012701",1627.83143006878
6001281,1,1,1,4,"60012811",1995.23349662087
6001281,2,1,2,5,"60012811",1995.23349662087
6001282,1,1,1,3,"60012821",1297.98984516825
6001296,1,1,1,3,"60012961",318.140766163638
6001339,1,1,1,4,"60013391",2047.99297691006
6001350,1,1,1,3,"60013501",2126.39531704944
6001350,2,1,2,4,"60013501",2126.39531704944
6001354,1,1,1,4,"60013541",2920.31735307817
6001402,1,1,1,3,"60014021",506.490241434391
6001411,1,1,1,2,"60014111",1389.12746385446
6001415,1,1,1,4,"60014151",288.897460815417
6001419,1,1,1,1,"60014191",261.854710511626
6001419,2,1,2,2,"60014191",261.854710511626
6001421,1,1,1,3,"60014211",391.007433346301
6001421,2,1,2,2,"60014211",391.007433346301
6001424,1,1,1,3,"60014241",315.307561578763
6001424,2,1,2,4,"60014241",315.307561578763
6001431,1,1,1,2,"60014311",1556.79111808936
6001435,1,1,1,5,"60014351",1947.44713062465
6001438,1,1,1,2,"60014381",1968.98529322486
6001438,2,1,2,3,"60014381",1968.98529322486
6001449,1,1,1,4,"60014491",2208.77161875872
6001466,1,1,1,3,"60014661",770.546854839888
6001469,1,1,1,2,"60014691",912.87743785177
6001469,2,1,2,3,"60014691",912.87743785177
6001471,1,1,1,3,"60014711",882.728900473821
6001472,1,1,1,3,"60014721",640.331809057543
6001474,1,1,1,4,"60014741",479.187116786082
6001474,2,1,2,5,"60014741",479.187116786082
6001474,3,1,3,6,"60014741",479.187116786082
6001483,1,1,1,4,"60014831",1194.31605497381
6001483,2,1,2,5,"60014831",1194.31605497381
6001498,1,1,1,4,"60014981",149.621433069896
6001498,2,1,2,5,"60014981",149.621433069896
6001507,1,1,1,3,"60015071",332.188064831223
6001507,2,1,2,4,"60015071",332.188064831223
6001531,1,1,1,3,"60015311",2458.39313643769
6001533,1,1,1,3,"60015331",2819.56752618579
6001546,1,1,1,5,"60015461",2192.36727296027
6001575,1,1,1,3,"60015751",2514.74862966247
6001575,2,1,2,4,"60015751",2514.74862966247
6001601,1,1,1,4,"60016011",1776.39959008801
6001601,2,1,2,5,"60016011",1776.39959008801
6001602,1,1,1,2,"60016021",2222.05523347238
6001603,1,1,1,1,"60016031",2287.84598460704
6001607,1,1,1,1,"60016071",2233.65601814101
6001609,1,1,1,3,"60016091",2519.50398204209
6001615,1,1,1,3,"60016151",535.416242542994
6001615,2,1,2,4,"60016151",535.416242542994
6001616,1,1,1,4,"60016161",385.827723274061
6001616,2,1,2,5,"60016161",385.827723274061
6001617,1,1,1,5,"60016171",551.990290017626
6001618,1,1,1,7,"60016181",456.221444449343
6001619,1,1,1,3,"60016191",502.129358611517
6001620,2,1,2,5,"60016201",2178.656377116
6001620,1,1,1,4,"60016201",2178.656377116
6001622,1,1,1,3,"60016221",2148.90652111106
6001622,2,1,2,5,"60016221",2148.90652111106
6001622,3,1,3,6,"60016221",2148.90652111106
6001623,1,1,1,3,"60016231",1739.43751254788
6001623,2,1,2,4,"60016231",1739.43751254788
6001625,1,1,1,3,"60016251",1709.25048677294
6001629,1,1,1,3,"60016291",1651.23240351294
6001630,1,1,1,5,"60016301",1025.75057272528
6001631,1,1,1,3,"60016311",1507.13892443564
6001638,1,1,1,7,"60016381",2134.63600400184
6001641,1,1,1,3,"60016411",1911.21693310454
6001641,2,1,2,4,"60016411",1911.21693310454
6001648,1,1,1,3,"60016481",2619.33779775959
6001648,2,1,2,4,"60016481",2619.33779775959
6001649,1,1,1,3,"60016491",1842.01155324069
6001649,2,1,2,4,"60016491",1842.01155324069
6001649,3,1,3,5,"60016491",1842.01155324069
6001655,1,1,1,4,"60016551",2754.53645235226
6001655,2,1,2,6,"60016551",2754.53645235226
6001657,1,1,1,4,"60016571",2269.47118096077
6001657,2,1,2,6,"60016571",2269.47118096077
6001659,1,1,1,3,"60016591",2069.10060793357
6001664,1,1,1,3,"60016641",1867.63866753685
6001666,1,1,1,4,"60016661",1366.14842761779
6001666,2,1,2,5,"60016661",1366.14842761779
6001668,1,1,1,3,"60016681",1091.0186783698
6001670,1,1,1,2,"60016701",1506.62023012874
6001670,2,1,2,3,"60016701",1506.62023012874
6001671,1,1,1,3,"60016711",1541.68814123336
6001675,1,1,1,3,"60016751",309.36676775732
6001675,2,1,2,4,"60016751",309.36676775732
6001675,3,1,3,5,"60016751",309.36676775732
6001676,1,1,1,3,"60016761",427.114642579586
6001676,2,1,2,4,"60016761",427.114642579586
6001677,1,1,1,4,"60016771",599.674114324259
6001677,2,1,2,5,"60016771",599.674114324259
6001681,1,1,1,3,"60016811",558.280512215529
6001681,2,1,2,4,"60016811",558.280512215529
6001681,3,1,3,5,"60016811",558.280512215529
6001690,1,1,1,5,"60016901",1388.68205776397
6001691,1,1,1,3,"60016911",586.142254527317
6001691,2,1,2,4,"60016911",586.142254527317
6001691,3,1,3,5,"60016911",586.142254527317
6001692,1,1,1,3,"60016921",722.818046038754
6001697,1,1,1,2,"60016971",1318.61148752113
6001714,1,1,1,3,"60017141",3836.24761215977
6001714,2,1,2,4,"60017141",3836.24761215977
6001714,3,1,3,5,"60017141",3836.24761215977
6001720,1,1,1,2,"60017201",1592.1414991942
6001720,2,1,2,3,"60017201",1592.1414991942
6001724,1,1,1,6,"60017241",901.285068120898
6001725,1,1,1,3,"60017251",693.488162142202
6001725,2,1,2,4,"60017251",693.488162142202
6001725,3,1,3,5,"60017251",693.488162142202
6001728,1,1,1,3,"60017281",287.537483231964
6001731,1,1,1,3,"60017311",624.199496885405
6001732,1,1,1,3,"60017321",734.939652946737
6001732,2,1,2,6,"60017321",734.939652946737
6001734,1,1,1,5,"60017341",755.17847539889
6001737,1,1,1,3,"60017371",462.742470684432
6001737,2,1,2,4,"60017371",462.742470684432
6001739,1,1,1,2,"60017391",373.960264176233
6001739,2,1,2,3,"60017391",373.960264176233
6001740,1,1,1,4,"60017401",636.061073981976
6001745,1,1,1,5,"60017451",1912.32561980991
6001749,1,1,1,3,"60017491",2465.01718568843
6001750,1,1,1,4,"60017501",422.057911229867
6001750,2,1,2,5,"60017501",422.057911229867
6001750,3,1,3,6,"60017501",422.057911229867
6001751,1,1,1,3,"60017511",564.049083127798
6001752,1,1,1,2,"60017521",494.097548906979
6001753,1,1,1,3,"60017531",672.076152847664
6001753,2,1,2,4,"60017531",672.076152847664
6001753,3,1,3,5,"60017531",672.076152847664
6001756,1,1,1,3,"60017561",2115.81802835145
6001767,1,1,1,3,"60017671",2747.43856583937
6001777,1,1,1,3,"60017771",1131.43376233876
6001777,2,1,2,4,"60017771",1131.43376233876
6001778,1,1,1,4,"60017781",1039.70685227152
6001778,2,1,2,5,"60017781",1039.70685227152
6001782,2,1,2,4,"60017821",1225.28975611145
6001782,1,1,1,3,"60017821",1225.28975611145
6001786,1,1,1,3,"60017861",1786.2352373548
6001786,2,1,2,4,"60017861",1786.2352373548
6001788,1,1,1,3,"60017881",2082.60064282669
6001788,2,1,2,4,"60017881",2082.60064282669
6001788,3,1,3,5,"60017881",2082.60064282669
6001789,1,1,1,3,"60017891",2146.73974598369
6001789,2,1,2,4,"60017891",2146.73974598369
6001789,3,1,3,5,"60017891",2146.73974598369
6001789,4,1,4,6,"60017891",2146.73974598369
6001791,1,1,1,3,"60017911",1140.32862920825
6001825,1,1,1,1,"60018251",3276.94048285003
6001952,1,1,1,3,"60019521",2750.55147614439
6001952,2,1,2,4,"60019521",2750.55147614439
6001979,1,1,1,3,"60019791",2806.60380666034
6001982,1,1,1,3,"60019821",306.182972179901
6001986,1,1,1,2,"60019861",672.454488829969
6001986,2,1,2,3,"60019861",672.454488829969
6001991,1,1,1,4,"60019911",589.005369453229
6002006,1,1,1,3,"60020061",585.282866572107
6002006,2,1,2,4,"60020061",585.282866572107
6002006,3,1,3,5,"60020061",585.282866572107
6002009,1,1,1,3,"60020091",206.85698796425
6002011,1,1,1,1,"60020111",307.981921939317
6002017,1,1,1,4,"60020171",220.938992162181
6002018,1,1,1,2,"60020181",312.191672144198
6002019,1,1,1,2,"60020191",303.726025666092
6002039,1,1,1,2,"60020391",2297.95277740509
6002039,2,1,2,3,"60020391",2297.95277740509
6002043,1,1,1,3,"60020431",2583.3426919398
6002043,2,1,2,4,"60020431",2583.3426919398
6002056,1,1,1,3,"60020561",243.568880943696
6002063,1,1,1,5,"60020631",242.948548761187
6002065,1,1,1,3,"60020651",243.568880943696
6002068,1,1,1,3,"60020681",243.568880943696
6002071,1,1,1,3,"60020711",1702.39720267522
6002071,2,1,2,4,"60020711",1702.39720267522
6002073,1,1,1,3,"60020731",1984.2453468553
6002073,2,1,2,4,"60020731",1984.2453468553
6002080,1,1,1,6,"60020801",514.422941375572
6002084,1,1,1,1,"60020841",1531.729836144
6002107,1,1,1,3,"60021071",382.777841905128
6002110,1,1,1,1,"60021101",224.05073096893
6002112,1,1,1,2,"60021121",467.965270844298
6002112,2,1,2,3,"60021121",467.965270844298
6002120,1,1,1,3,"60021201",618.808083232229
6002120,2,1,2,4,"60021201",618.808083232229
6002123,1,1,1,2,"60021231",504.025630945988
6002123,2,1,2,3,"60021231",504.025630945988
6002128,1,1,1,2,"60021281",485.273103954394
6002128,2,1,2,3,"60021281",485.273103954394
6002129,1,1,1,3,"60021291",326.663756185425
6002129,2,1,2,2,"60021291",326.663756185425
6002146,1,1,1,3,"60021461",444.149939495338
6002165,1,1,1,3,"60021651",4918.56961759129
6002223,1,1,1,3,"60022231",594.957185773757
6002224,1,1,1,4,"60022241",804.248345381628
6002237,1,1,1,3,"60022371",911.662940213958
6002237,2,1,2,4,"60022371",911.662940213958
6002248,1,1,1,5,"60022481",848.773100814686
6002251,1,1,1,2,"60022511",682.281000956735
6002251,2,1,2,3,"60022511",682.281000956735
6002251,3,1,3,4,"60022511",682.281000956735
6002256,1,1,1,3,"60022561",461.152415730002
6002276,1,1,1,3,"60022761",777.612051655485
6002276,2,1,2,4,"60022761",777.612051655485
6002278,1,1,1,2,"60022781",640.207770450901
6002278,2,1,2,3,"60022781",640.207770450901
6002292,1,1,1,3,"60022921",695.459853858881
6002292,2,1,2,4,"60022921",695.459853858881
6002296,1,1,1,3,"60022961",728.084908911791
6002296,2,1,2,4,"60022961",728.084908911791
6002303,1,1,1,3,"60023031",751.773937217499
6002309,1,1,1,4,"60023091",741.077864871355
6002321,1,1,1,5,"60023211",200.115949082385
6002330,1,1,1,4,"60023301",110.035381932947
6002336,1,1,1,2,"60023361",261.065165909732
6002355,1,1,1,4,"60023551",187.856978448863
6002355,2,1,2,5,"60023551",187.856978448863
6002370,1,1,1,3,"60023701",174.501852283037
