"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P784S4A2","P784S4A3","P784S4A4","LLAVEHOG","FEX_C"
6007674,1,1,1,"AGENCIA COLOMBIANA PARA LA REINTEGRACION",1,6000000,"60076741",2106.19067096298
6008261,1,1,1,"AYUDA HUMANITARIA",2,1200000,"60082611",645.102843830322
6008281,1,1,1,"AYUDA HUMANITARIA",1,226000,"60082811",637.111836561526
6008357,1,1,1,"DESPLAZADOS",2,400000,"60083571",473.782908294367
6008368,1,1,1,"DESPLAZAMIENTO",2,360000,"60083681",2180.51650743352
6008496,1,1,1,"AYUDA HUMANITARIA",1,945000,"60084961",468.030476055379
6008508,1,2,1,"DESPLAZADOS1",1,290000,"60085082",305.934002022727
6008549,1,1,1,"AYUDA HUMANITARIA",1,500000,"60085491",502.100256480975
6008583,1,1,1,"AYUDA HUMANITARIA",1,4923000,"60085831",3628.95100371098
6008761,1,1,1,"AYUDA HUMANITARIA",1,540000,"60087611",83.9456703035028
6008762,1,1,1,"PROGRAMA DE DESPLAZADOS",5,1200000,"60087621",85.9794127567011
6008785,1,1,1,"AYUDA A VICTIMAS",1,276000,"60087851",553.292959493891
6008799,1,1,1,"AYUDA HUMANITARIA",1,510000,"60087991",554.760132662196
6008803,1,1,1,"PROGRAMA DE DESPLAZADOS",5,1000000,"60088031",103.435023122551
6008804,1,1,1,"PROGRAMA DESPLAZADOS",2,2000000,"60088041",101.589760113682
6008812,1,1,1,"AYUDA HUMANITARIA",1,400000,"60088121",650.406397872952
6008817,1,1,1,"AYUDA HUMANITARIA",1,200000,"60088171",537.319063373066
6008835,1,1,1,"DEZPLAZAMIEN",1,99,"60088351",91.8262805690013
6009003,1,1,1,"FAMILIAS EN SU TIERRA",1,1360000,"60090031",1705.35950267578
6009356,1,1,1,"AYUDA HUMANITARIA",1,250000,"60093561",476.74306639773
6009388,1,1,1,"AYUDA HUMANITARIA",1,500000,"60093881",438.445128406721
6009402,1,1,1,"AYUDA HUMANITARIA",1,600000,"60094021",641.246127585749
6009414,1,1,1,"DESPLAZAMIENTO",1,900000,"60094141",674.482980585855
6009423,1,1,1,"AYUDA HUMANITARIA",1,540000,"60094231",335.737491019731
6009425,1,1,1,"AYUDA HUMANITARIA",3,410000,"60094251",367.065771086655
6009426,1,1,1,"AYUDA HUMANITARIA",1,1000000,"60094261",668.114905648774
6009432,1,1,1,"AYUDA HUMANITARIA",1,350000,"60094321",475.192924093671
6009609,1,1,1,"AYUDA HUMANITARIA",1,826000,"60096091",530.511137071394
6009733,1,1,1,"DESPLAZAMIENTOS",1,1200000,"60097331",572.267653937645
6009838,1,1,1,"ONCE TRECE",1,1440000,"60098381",2706.84162093892
6009979,1,1,1,"MI VITAL ALIMENTARIO",1,1000000,"60099791",34.2665164145882
6010106,1,1,1,"DESPLAZADOS",1,110000,"60101061",106.139209353391
6010493,1,1,1,"FONDO DESEMPLEO",3,450000,"60104931",5317.22373616888
