"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P8692S3A1","LLAVEHOG","FEX_C"
6001302,4,1,4,4,"60013021",2090.14724941253
6001302,5,1,5,5,"60013021",2090.14724941253
6001304,1,1,1,1,"60013041",1759.42154805262
6001304,2,1,2,2,"60013041",1759.42154805262
6001325,1,1,1,1,"60013251",105.298851337712
6001325,2,1,2,2,"60013251",105.298851337712
6001325,3,1,3,3,"60013251",105.298851337712
6001339,1,1,1,1,"60013391",2047.99297691006
6001339,2,1,2,2,"60013391",2047.99297691006
6001342,1,1,1,1,"60013421",1590.89468836637
6001342,2,1,2,2,"60013421",1590.89468836637
6001352,1,1,1,1,"60013521",1637.05252882877
6001352,2,1,2,2,"60013521",1637.05252882877
6001354,1,1,1,1,"60013541",2920.31735307817
6001354,2,1,2,2,"60013541",2920.31735307817
6001366,1,1,1,1,"60013661",3928.86097474062
6001366,2,1,2,2,"60013661",3928.86097474062
6001366,3,1,3,3,"60013661",3928.86097474062
6001393,1,1,1,1,"60013931",663.125204904541
6001393,2,1,2,2,"60013931",663.125204904541
6001416,1,1,1,1,"60014161",163.690238740179
6001416,2,1,2,2,"60014161",163.690238740179
6001422,1,1,1,1,"60014221",529.60132114191
6001422,2,1,2,2,"60014221",529.60132114191
6001461,1,1,1,2,"60014611",946.977675129387
6001461,2,1,2,1,"60014611",946.977675129387
6001483,1,1,1,1,"60014831",1194.31605497381
6001483,2,1,2,2,"60014831",1194.31605497381
6001517,1,1,1,1,"60015171",2381.49910731003
6001517,2,1,2,2,"60015171",2381.49910731003
6001527,1,1,1,1,"60015271",2044.03339497725
6001527,2,1,2,2,"60015271",2044.03339497725
6001539,1,1,1,1,"60015391",1268.1989000648
6001539,2,1,2,2,"60015391",1268.1989000648
6001539,3,1,3,3,"60015391",1268.1989000648
6001539,4,1,4,5,"60015391",1268.1989000648
6001542,1,1,1,1,"60015421",2725.36822750444
6001542,2,1,2,2,"60015421",2725.36822750444
6001543,1,1,1,1,"60015431",2319.34741576643
6001543,2,1,2,2,"60015431",2319.34741576643
6001543,3,1,3,3,"60015431",2319.34741576643
6001543,4,1,4,4,"60015431",2319.34741576643
6001552,1,1,1,1,"60015521",1790.48138396761
6001552,2,1,2,2,"60015521",1790.48138396761
6001552,3,1,3,3,"60015521",1790.48138396761
6001560,1,1,1,1,"60015601",1849.34422906535
6001560,2,1,2,2,"60015601",1849.34422906535
6001570,1,1,1,1,"60015701",1955.74313392714
6001570,2,1,2,2,"60015701",1955.74313392714
6001570,3,1,3,3,"60015701",1955.74313392714
6001577,1,1,1,1,"60015771",2534.51854904763
6001577,2,1,2,2,"60015771",2534.51854904763
6001583,1,1,1,1,"60015831",2081.87720043381
6001583,2,1,2,3,"60015831",2081.87720043381
6001724,1,1,1,1,"60017241",901.285068120898
6001724,2,1,2,2,"60017241",901.285068120898
6001822,1,1,1,1,"60018221",1826.92517882484
6001822,2,1,2,4,"60018221",1826.92517882484
6001840,1,1,1,1,"60018401",2431.36433167971
6001840,2,1,2,2,"60018401",2431.36433167971
6001845,1,1,1,1,"60018451",1827.92412418188
6001845,2,1,2,2,"60018451",1827.92412418188
6001850,1,1,1,1,"60018501",1573.05184362831
6001850,2,1,2,2,"60018501",1573.05184362831
6001855,1,1,1,1,"60018551",1669.35117313562
6001855,2,1,2,2,"60018551",1669.35117313562
6001871,1,1,1,1,"60018711",1828.92306953893
6001871,2,1,2,2,"60018711",1828.92306953893
6001899,1,1,1,1,"60018991",4816.81402392864
6001899,2,1,2,2,"60018991",4816.81402392864
6001911,1,1,1,1,"60019111",1557.0731994065
6001911,2,1,2,2,"60019111",1557.0731994065
6001912,1,1,1,1,"60019121",1881.85762440437
6001912,2,1,2,2,"60019121",1881.85762440437
6001918,1,1,1,1,"60019181",1557.0731994065
6001918,2,1,2,2,"60019181",1557.0731994065
6001932,2,1,2,2,"60019321",177.66088773595
6001932,1,1,1,1,"60019321",177.66088773595
